SeqId	contrast	estimate	SE	df	lower.CL	upper.CL	p.value	Model	UniProt	EntrezGeneSymbol	is_diffexp	CI_Width
10527-22	EARLYOA - HEALTHY	-0.127444962202033	0.224729659274104	1805.39817166172	-0.654579597165891	0.399689672761826	0.837634590068725	12	Q08211	DHX9	FALSE	1.05426926992772
10528-2	EARLYOA - HEALTHY	-0.125129097467965	0.2139024965338	1694.45193509696	-0.626894285458672	0.376636090522743	0.828192290542739	37	P16444	DPEP1	FALSE	1.00353037598141
10530-8	EARLYOA - HEALTHY	-0.00404192983296139	0.217222718767129	1785.68935290112	-0.513572643393918	0.505488783727995	0.999809130739903	33	P28072	PSMB6	FALSE	1.01906142712191
10531-18	EARLYOA - HEALTHY	0.316045036439168	0.1839933885888	1774.63980564234	-0.115543202298849	0.747633275177185	0.198799349603406	9	P01111	NRAS	FALSE	0.863176477476035
10534-40	EARLYOA - HEALTHY	0.318194858619267	0.218227507581213	1766.7365339554	-0.193697339297438	0.830087056535973	0.311535602996785	64	P09874	PARP1	FALSE	1.02378439583341
10539-30	EARLYOA - HEALTHY	0.133294383265635	0.203864061103843	1819.10972246536	-0.344894112036718	0.611482878567987	0.790211995514595	127	Q8TCZ2	CD99L2	FALSE	0.956376990604705
10546-2	EARLYOA - HEALTHY	-0.055768030731208	0.218227507581213	1766.7365339554	-0.567660228647914	0.456124167185497	0.964641006853564	64	Q8WU66	TSPEAR	FALSE	1.02378439583341
10550-37	EARLYOA - HEALTHY	-0.0586897016867759	0.196420005800175	1794.98003479291	-0.519422322978717	0.402042919605165	0.95197947722745	138	O00238	BMPR1B	FALSE	0.921465242583882
10551-7	EARLYOA - HEALTHY	0.31701112784331	0.198180898036105	1743.75604557943	-0.147863288670019	0.78188554435664	0.24605543424333	25	O43561	LAT	FALSE	0.929748833026659
10552-88	EARLYOA - HEALTHY	-0.258168807585356	0.226713752031363	1794.90669319839	-0.789959978147488	0.273622362976776	0.490310051161818	96	O43908	KLRC4	FALSE	1.06358234112426
10553-8	EARLYOA - HEALTHY	0.381577313557983	0.187877881315615	1813.83809146525	-0.0591146611330182	0.822269288248985	0.105123307422915	29	Q8NFQ8	TOR1AIP2	FALSE	0.881383949382003
10557-6	EARLYOA - HEALTHY	0.159808612758169	0.19610737721016	1833.87905458113	-0.300182576007631	0.619799801523968	0.69382393228506	28	Q8N6K0	TEX29	FALSE	0.919982377531599
10558-26	EARLYOA - HEALTHY	0.0267041166236464	0.215599596105957	1820.68908390911	-0.479011174709632	0.532419407956925	0.991577909456615	111	Q9HC56	PCDH9	FALSE	1.01143058266656
10560-1	EARLYOA - HEALTHY	-0.151211038686845	0.232891538338076	1772.13704707257	-0.697498973485322	0.395076896111632	0.792802035583219	125	Q9NQX7	ITM2C	FALSE	1.09257586959695
10561-5	EARLYOA - HEALTHY	-0.0402154716714121	0.179184379183031	1819.17890148413	-0.460514692264486	0.380083748921662	0.972614029904938	72	Q96LB9	PGLYRP3	FALSE	0.840598441186148
10562-42	EARLYOA - HEALTHY	-0.0413157147084384	0.183713457277692	1783.97905635255	-0.472245428403524	0.389613998986647	0.972504226698433	55	Q8NC67	NETO2	FALSE	0.861859427390171
10563-13	EARLYOA - HEALTHY	-0.00295957567450346	0.203939133094941	1823.04183571895	-0.481323314887161	0.475404163538154	0.999883897096344	132	Q7Z3D4	LYSMD3	FALSE	0.956727478425315
10565-19	EARLYOA - HEALTHY	-0.402186019302858	0.231660186349276	1817.15778675086	-0.94557426040869	0.141202221802974	0.19203784372397	109	O94933	SLITRK3	FALSE	1.08677648221166
10569-28	EARLYOA - HEALTHY	-0.108001680303553	0.200097281797376	1767.01703535621	-0.577366082487863	0.361362721880757	0.851715252738315	17	P55001	MFAP2	FALSE	0.938728804368621
10571-14	EARLYOA - HEALTHY	-0.00948158204131088	0.231642414994466	1808.02336186693	-0.552830393475359	0.533867229392737	0.99907671905042	14	P26572	MGAT1	FALSE	1.0866976228681
10572-65	EARLYOA - HEALTHY	-0.344168836975994	0.216494582362014	1730.41801982548	-0.852005151350123	0.163667477398135	0.250314200303258	90	O60676	CST8	FALSE	1.01567262874826
10574-10	EARLYOA - HEALTHY	0.335318964986276	0.178053806027909	1814.8157291203	-0.0823291798554415	0.752967109827994	0.143805296395999	89	P61769	B2M	FALSE	0.835296289683435
10575-31	EARLYOA - HEALTHY	0.488763469957702	0.197736222626147	1742.1741983755	0.0249317713094792	0.952595168605925	0.0360744513374768	53	Q9UHX1	PUF60	TRUE	0.927663397296446
10576-7	EARLYOA - HEALTHY	0.0599251687643281	0.19374011646972	1818.90789594071	-0.394516397390298	0.514366734918954	0.948632422958089	11	Q6UX71	PLXDC2	FALSE	0.908883132309251
10580-14	EARLYOA - HEALTHY	-0.129268539249064	0.184061881811757	1801.37024515022	-0.561012050971937	0.302474972473809	0.762148123645386	110	Q6UW10	SFTA2	FALSE	0.863487023445745
10582-36	EARLYOA - HEALTHY	0.00596053397032598	0.208051246666958	1756.16853036932	-0.482063880004594	0.493984947945246	0.999547580496958	91	Q9H5K3	POMK	FALSE	0.97604882794984
10583-1	EARLYOA - HEALTHY	-0.144175141339761	0.232891538338125	1772.13704709942	-0.690463076140405	0.402112793460883	0.809695604614548	125	Q6UXF1	TMEM108	FALSE	1.09257586960129
10584-7	EARLYOA - HEALTHY	0.108183778915215	0.186646615456828	1812.35635158593	-0.329620396380838	0.545987954211268	0.831043631409794	30	O43181	NDUFS4	FALSE	0.875608350592105
10588-39	EARLYOA - HEALTHY	-0.232087565541329	0.270051642319944	1822.8874012072	-0.865526182264721	0.401351051182063	0.665982800757494	3	Q9UNP4	ST3GAL5	FALSE	1.26687723344678
10589-7	EARLYOA - HEALTHY	-0.341169079170522	0.190717204645004	1738.65947604799	-0.788536976977438	0.106198818636394	0.173584792692239	58	Q5VY80	RAET1L	FALSE	0.894735795613832
10603-1	EARLYOA - HEALTHY	-0.408676645857788	0.203864061103843	1819.10972246536	-0.88686514116014	0.0695118494445647	0.111346652852267	127	P15516	HTN3	FALSE	0.956376990604704
10605-22	EARLYOA - HEALTHY	-0.317072672728416	0.185555870974447	1805.75386136741	-0.752319674370242	0.11817432891341	0.202128953298239	69	Q9HDC9	APMAP	FALSE	0.870494003283652
10606-34	EARLYOA - HEALTHY	-0.0589180634505933	0.222254884906842	1457.6822135174	-0.580350623408734	0.462514496507547	0.96200342578876	27	Q5JTV8	TOR1AIP1	FALSE	1.04286511991628
10608-9	EARLYOA - HEALTHY	-0.49299957235724	0.200097281797376	1767.01703535621	-0.962363974541551	-0.0236351701729299	0.0368436667999936	17	P15515	HTN1	TRUE	0.938728804368621
